Subject_ID,max,min,median,mean,var,rms,diff1_mean,diff2_mean,diff1_std,diff2_std,freq0,freq1,freq2,freq3,freq4,freq5,freq6,freq7
20250409-2500168470,-30.0,-52.3,0.2402070575359067,0.349676477052908,0.0762157270631191,0.4455214536554351,-0.0005370292920787,1.817907083584657e-05,0.0204849320036167,0.0079347056887506,12.8745755035199,0.4127200996382452,0.7735439702378781,0.1977517460833038,0.0324763330706878,0.0207899430449819,0.0051575550627551,0.0046163125232404
20250410-01899802,12.7,-18.6,0.2031990659930184,0.3210615984177643,0.0639823119970455,0.4087332406051841,0.0014776557962886,0.0001770281834102,0.0370991760680062,0.0249647759324679,3.8474963471485406,0.3076225286676011,0.0899506175266353,0.0917596276300342,0.0346128011871606,0.0156022291164521,0.0212485698735679,0.012618581153722
20250410-04588596,-11.1,-20.5,0.3119694682047568,0.3670994542507677,0.0560854625069688,0.4368609296082454,-0.0006178343282193,3.85895780145522e-05,0.0469069607095809,0.0272482113798734,2.41460940145194,0.7409065455602376,0.5426242623456091,0.5193294455908848,0.1132873463953564,0.0575452807755614,0.0589111959180391,0.0225008038834492
20250410-06023680,-41.0,-70.9,0.3918574240739656,0.4725770750148488,0.071057720867399,0.5425742462529798,-0.0005300411903406,-1.6405635965888377e-05,0.0145188463164828,0.0074007469991122,27.10692084543356,0.1976490614406986,0.1261873429211408,0.056011814924655,0.0165570398728646,0.0105760347168328,0.0032637419731197,0.0008012534628305
20250410-2100107120,-21.6,-30.9,0.3445738825179853,0.3750576085184895,0.0528004322661533,0.439850704186957,-0.0005487910616958,-1.6420557074023746e-05,0.0212700983664984,0.0123049626877225,5.668807888219292,0.3646354611235261,0.1311721979792822,0.0550701098461268,0.0311549925124596,0.0158281442586389,0.0037561556151923,0.0056604692351788
20250410-2201139314,1.4,-29.1,0.8009236034814271,0.7276983804083269,0.0530393290918005,0.7632720759602716,-0.001749581056902,5.699588859183121e-06,0.0126077268593926,0.0063352180258154,4.107621485456591,0.1672719774793439,0.0137755897233161,0.0054297564148774,0.0030023732211418,0.0014085876908894,0.0011223729760461,0.0003508824402146
20250410-2300348596,-113.2,-113.5,0.4185844159498086,0.5010522343292446,0.0417295693637243,0.541094179316367,-0.0017406213467067,-3.761307537527436e-05,0.1657772691650994,0.291296101356376,2.465316194398014,0.1204753807146417,0.1205213167345099,0.0862968150796027,0.1326586920774188,0.1686711522672533,0.065265270800008,0.0787359478827218
20250410-2300655738,4.2,-6.0,0.4778755709258835,0.4842859478491213,0.0741679012832091,0.5556084777676912,-2.461800263210556e-05,8.62895723132546e-07,0.0150139014056822,0.0057788777006214,9.269815731466108,0.4446851649888376,0.07235562405332,0.0187268581751309,0.0073797951999157,0.0046618915738744,0.0010967980596285,0.0005128302080852
20250410-2400349132,4.5,-36.5,0.3499816614849056,0.3859243303907015,0.0554759144300696,0.4521211156510841,0.0005563723462456,2.335773222889012e-05,0.0100728776986299,0.0051330479376277,19.5448433914726,0.2258541694110565,0.0605684388164706,0.0312478264578639,0.0166374509731961,0.0066215014572495,0.0031265400543586,0.0016795356243661
20250410-2400608269,-17.5,-47.3,0.4354050064665656,0.4726060315884181,0.0555973165530877,0.5281607498166071,-0.0014379708699694,4.295030792095127e-05,0.0067602330371524,0.0036042077636197,1.4607201622894586,0.0197965999445303,0.0249441460745822,0.003754924459178,0.0044660064092646,0.0014805768036685,0.0004341442209527,0.0002250550387415
